repayment_id,loan_id,repayment_date,amount,channel
1,1001,2025-02-01,1200,M-Pesa
2,1001,2025-03-01,1500,M-Pesa
3,1002,2025-03-05,2000,Bank
4,1003,2025-02-10,4500,Cash
5,1004,2025-03-20,1000,M-Pesa
6,1004,2025-04-01,1800,M-Pesa
7,1005,2025-04-05,1600,Agent
8,1006,2025-04-11,1300,Mobile Money
9,1007,2025-05-02,2100,Bank
10,1008,2025-05-07,7500,Cash
11,1009,2025-05-25,1700,Mobile Money
12,1010,2025-06-01,900,Agent
13,1002,2025-06-03,2400,Bank
14,1007,2025-06-05,2300,M-Pesa
15,1009,2025-06-09,1900,Mobile Money
